A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,class
95,48,83,178,72,10,162,42,20,159,176,379,184,70,6,16,187,197,1
91,41,84,141,57,9,149,45,19,143,170,330,158,72,9,14,189,199,1
104,50,106,209,66,10,207,32,23,158,223,635,220,73,14,9,188,196,2
93,41,82,159,63,9,144,46,19,143,160,309,127,63,6,10,199,207,1
85,44,70,205,103,52,149,45,19,144,241,325,188,127,9,11,180,183,3
107,57,106,172,50,6,255,26,28,169,280,957,264,85,5,9,181,183,3
97,43,73,173,65,6,153,42,19,143,176,361,172,66,13,1,200,204,3
90,43,66,157,65,9,137,48,18,146,162,281,164,67,3,3,193,202,1
86,34,62,140,61,7,122,54,17,127,141,223,112,64,2,14,200,208,1
86,36,70,143,61,9,133,50,18,130,153,266,127,66,2,10,194,202,1
90,34,66,136,55,6,123,54,17,118,148,224,118,65,5,26,196,202,2
88,46,74,171,68,6,152,43,19,148,180,349,192,71,5,11,189,195,3
89,42,85,144,58,10,152,44,19,144,173,345,161,72,8,13,187,197,1
94,49,79,203,71,5,174,37,21,154,196,465,206,71,6,2,197,199,3
96,55,103,201,65,9,204,32,23,166,227,624,246,74,6,2,186,194,4
89,36,51,109,52,6,118,57,17,129,137,206,125,80,2,14,181,185,1
99,41,77,197,69,6,177,36,21,139,202,485,151,72,4,10,198,199,3
101,56,100,215,69,10,208,32,24,169,227,651,223,74,6,5,186,193,4
84,47,75,153,64,6,154,43,19,145,175,354,184,75,0,3,185,192,3
84,37,53,121,59,5,123,55,17,125,141,221,133,82,7,1,179,183,1
94,43,64,173,69,7,150,43,19,142,169,344,177,68,9,1,199,206,3
87,39,70,148,61,7,143,46,18,136,164,307,141,69,1,2,192,199,3
99,53,105,219,66,11,204,32,23,165,221,623,224,68,0,6,191,201,2
85,45,80,154,64,9,147,45,19,148,169,324,174,71,1,4,188,199,1
83,36,54,119,57,6,128,53,18,125,143,238,139,82,6,3,179,183,2
107,54,98,203,65,11,218,31,25,167,229,696,216,72,1,28,187,199,2
102,45,85,193,64,6,192,33,22,146,217,570,163,76,6,7,195,193,3
89,43,85,160,64,11,155,43,19,151,173,356,174,72,5,9,185,196,1
93,35,66,154,59,6,142,46,18,128,162,304,120,64,5,13,197,202,4
101,48,107,222,68,10,208,32,24,154,232,641,204,70,5,38,190,202,4
87,38,85,177,61,8,164,40,20,129,186,402,130,63,1,25,198,205,4
100,46,90,172,67,9,157,43,20,150,170,363,184,67,17,7,192,200,1
82,44,72,118,52,7,152,44,19,147,174,340,177,82,2,2,180,185,3
90,48,86,306,126,49,153,44,19,156,272,346,200,118,0,15,185,194,1
106,53,98,176,54,10,216,31,24,171,235,691,218,74,1,9,187,197,2
81,45,68,169,73,6,151,44,19,146,173,336,186,75,7,0,183,189,3
95,48,104,214,67,9,205,32,23,151,227,628,202,74,5,9,186,193,4
88,37,51,105,52,5,119,57,17,128,135,207,125,86,8,16,179,183,1
94,49,87,137,54,11,158,43,20,162,178,366,186,75,5,5,183,194,1
93,46,82,145,58,11,159,43,20,160,180,371,189,77,2,4,183,194,1
91,43,70,133,55,8,130,51,18,146,159,253,156,70,1,8,190,194,1
85,42,66,122,54,6,148,46,19,141,172,317,174,88,6,14,180,182,3
89,47,81,147,64,11,156,44,20,163,170,352,188,76,6,13,184,193,1
98,55,101,228,70,9,210,31,24,168,236,661,245,72,1,6,188,197,4
101,42,62,175,67,6,149,43,19,139,169,341,165,65,7,11,202,209,3
101,56,104,185,53,6,257,26,28,168,275,956,230,83,5,26,180,184,3
